Universe Date,Filter Date,Era,Novel Type,Title,Writers,Release Date,Canon or Legends,Image,Thumbnail
32 BBY,-32,FOTJ,YR,Size Matters Not,S.T. Bende,10/2/2018,Canon,https://static.wikia.nocookie.net/starwars/images/8/87/SizeMattersNot.png/revision/latest?cb=20201230011501,SWImages\Size Matters Not.jpg
32 BBY,-32,FOTJ,YR,Darth Maul and the Rathtars,Steve Behling,10/2/2018,Canon,https://static.wikia.nocookie.net/starwars/images/0/06/DarthMaulandtheRathtars.png/revision/latest?cb=20201230011828,SWImages\Darth Maul and the Rathtars.jpg
32 BBY,-32,FOTJ,YA,Queen's Peril,E. K. Johnston,6/2/2020,Canon,https://static.wikia.nocookie.net/starwars/images/1/1c/QueensPeril.png/revision/latest?cb=20200618062128,SWImages\Queen's Peril.jpg
32 BBY,-32,FOTJ,YR,The Phantom Menace,Courtney Carbone,7/28/2015,Canon,https://static.wikia.nocookie.net/starwars/images/2/2c/The_Phantom_Menace_Golden_Book_Cover.jpg/revision/latest?cb=20150516170352,SWImages\The Phantom Menace.jpg
32 BBY,-32,FOTJ,YR,The Phantom Menace Read-Along Storybook and CD,Elizabeth Schaefer,1/3/2017,Canon,https://static.wikia.nocookie.net/starwars/images/0/05/TPMStorybookCD.png/revision/latest?cb=20160820164654,SWImages\The Phantom Menace Read-Along Storybook and CD.jpg
32 - 19 BBY,-32,FOTJ,YR,The Prequel Trilogy Stories,Brian Rood,9/26/2017,Canon,https://static.wikia.nocookie.net/starwars/images/3/33/Prequel_trilogy_stories_new_cover.jpg/revision/latest?cb=20170526192958,SWImages\The Prequel Trilogy Stories.jpg
32 BBY - 34 ABY,-32,FOTJ,YR,5-Minute Star Wars Stories,"Brooke Dworkin
Calliope Glass
Trey King
Elizabeth Schaefer
Andy Schmidt
Rebecca L. Schmidt",12/18/2015,Canon,https://static.wikia.nocookie.net/starwars/images/0/0e/5-Minute_Star_Wars_Stories_cover.jpg/revision/latest?cb=20150926003126,SWImages\5-Minute Star Wars Stories.jpg
32 BBY - 34 ABY,-32,FOTJ,YR,5-Minute Star Wars Stories Strike Back,Lucasfilm Press,12/15/2017,Canon,https://static.wikia.nocookie.net/starwars/images/9/9d/5_minute_stories_2_final.jpg/revision/latest?cb=20170722125313,SWImages\5-Minute Star Wars Stories Strike Back.jpg
32 BBY - 34 ABY,-32,FOTJ,YR,The Skywalker Saga,Delilah S. Dawson,10/1/2019,Canon,https://static.wikia.nocookie.net/starwars/images/4/40/SWTheSkywalkerSaga-2ndCover.jpg/revision/latest?cb=20190720185046,SWImages\The Skywalker Saga.jpg
32 BBY - 35 ABY,-32,FOTJ,JRA,Star Wars Galaxy of Adventures,Meredith Rusu,9/17/2019,Canon,https://static.wikia.nocookie.net/starwars/images/f/f8/GoA-ChapterBook.jpg/revision/latest?cb=20190211215533,SWImages\Star Wars Galaxy of Adventures.jpg
29 BBY,-29,FOTJ,YR,A Jedi's Control,S.T. Bende,10/2/2018,Canon,https://static.wikia.nocookie.net/starwars/images/9/9a/AJedisControl.png/revision/latest?cb=20201230011320,SWImages\A Jedi's Control.jpg
28 BBY,-28,FOTJ,YA,Queen's Shadow,E. K. Johnston,3/5/2019,Canon,https://static.wikia.nocookie.net/starwars/images/0/0e/QueensShadow.png/revision/latest?cb=20190305210550,SWImages\Queen's Shadow.jpg
28 - 22 BBY,-28,FOTJ,OJR,Choose Your Destiny: An Obi-Wan & Anakin Adventure,Cavan Scott,3/19/2019,Canon,https://static.wikia.nocookie.net/starwars/images/f/f5/ChooseYourDestinyObiWanAnakin-Final.jpg/revision/latest?cb=20190322041443,SWImages\Choose Your Destiny An Obi-Wan and Anakin Adventure.jpg
28 - 22 BBY,-28,FOTJ,ON,Inquisitor: Rise of the Red Blade,Delilah S. Dawson,7/18/2023,Canon,https://static.wikia.nocookie.net/starwars/images/f/f0/InquisitorRiseoftheRedBlade-cover.jpg/revision/latest?cb=20221011193317,SWImages\Inquisitor Rise of the Red Blade.jpg
22 BBY,-22,FOTJ,YR,Attack of the Clones,Geof Smith,7/28/2015,Canon,https://static.wikia.nocookie.net/starwars/images/6/66/Attack_of_the_Clones_Golden_Book_Cover.jpg/revision/latest?cb=20150516170453,SWImages\Attack of the Clones.jpg
22 BBY,-22,FOTJ,YR,Attack of the Clones Read-Along Storybook and CD,Randy Thornton,2/7/2017,Canon,https://static.wikia.nocookie.net/starwars/images/1/1c/AOTCStorybookCD.png/revision/latest?cb=20160820172752,SWImages\Attack of the Clones Read-Along Storybook and CD.jpg
22 BBY,-22,FOTJ,YA,Queen's Hope,E. K. Johnston,4/5/2022,Canon,https://static.wikia.nocookie.net/starwars/images/4/47/Queens_Hope_final_cover.jpg/revision/latest?cb=20210618225638,SWImages\Queen's Hope.jpg
22 BBY,-22,FOTJ,ON,Brotherhood,Mike Chen,5/10/2022,Canon,https://static.wikia.nocookie.net/starwars/images/3/3d/Brotherhood_Final_Cover.png/revision/latest?cb=20220510224638,SWImages\Brotherhood.jpg
22 BBY,-22,FOTJ,OJR,Choose Your Destiny: A Clone Trooper Mission,Cavan Scott,6/9/2019,Canon,https://static.wikia.nocookie.net/starwars/images/a/a2/ChooseYourDestiny-Clone-Trooper-Mission.jpg/revision/latest?cb=20220107154620,SWImages\Choose Your Destiny A Clone Trooper Mission.jpg
21 - 17 BBY,-21,FOTJ,ON,Catalyst: A Rogue One Novel,James Luceno,11/15/2016,Canon,https://static.wikia.nocookie.net/starwars/images/9/92/Catalyst_A_Rogue_One_Novel.png/revision/latest?cb=20180211055827,SWImages\Catalyst A Rogue One Novel.jpg
21 BBY - 34 ABY,-21,FOTJ,JRA,Forces of Destiny: Daring Adventures: Volume 1,Emma Carlson Berne,8/1/2017,Canon,https://static.wikia.nocookie.net/starwars/images/d/d7/Forces_of_Destiny_Volume_1.jpg/revision/latest?cb=20170415221627,SWImages\Forces of Destiny Daring Adventures Volume 1.jpg
21 BBY - 3 ABY,-21,FOTJ,JRA,Forces of Destiny: Daring Adventures: Volume 2,Emma Carlson Berne,10/3/2017,Canon,https://static.wikia.nocookie.net/starwars/images/b/b2/Forces_of_Destiny_Volume_2.jpg/revision/latest?cb=20170415221635,SWImages\Forces of Destiny Daring Adventures Volume 2.jpg
19 BBY,-19,ROTE,ON,Thrawn Ascendancy: Chaos Rising,Timothy Zahn,9/1/2020,Canon,https://static.wikia.nocookie.net/starwars/images/4/4a/ChaosRising_cover.jpg/revision/latest?cb=20200902230326,SWImages\Thrawn Ascendancy Chaos Rising.jpg
19 BBY,-19,ROTE,ON,Dark Disciple,Christie Golden,7/7/2015,Canon,https://static.wikia.nocookie.net/starwars/images/9/90/Dark_Disciple_Cover.png/revision/latest?cb=20141209194455,SWImages\Dark Disciple.jpg
19 BBY,-19,ROTE,YR,Revenge of the Sith,Geof Smith,7/28/2015,Canon,https://static.wikia.nocookie.net/starwars/images/f/ff/Revenge_of_the_Sith_Golden_Book_Cover.jpg/revision/latest?cb=20150516170614,SWImages\Revenge of the Sith.jpg
19 BBY,-19,ROTE,YR,Revenge of the Sith Read-Along Storybook and CD,Lucasfilm Press,3/7/2017,Canon,https://static.wikia.nocookie.net/starwars/images/a/a7/Revenge_of_the_Sith_Read-Along_Final_Cover.jpg/revision/latest?cb=20170306172058,SWImages\Revenge of the Sith Read-Along Storybook and CD.jpg
19 BBY,-19,ROTE,YR,Darth Vader and the Weapon of a Sith,Ivan Cohen,10/2/2018,Canon,https://static.wikia.nocookie.net/starwars/images/d/d4/DarthVaderWeaponofaSith.png/revision/latest?cb=20201230011115,SWImages\Darth Vader and the Weapon of a Sith.jpg
18 BBY,-18,ROTE,ON,Thrawn Ascendancy: Greater Good,Timothy Zahn,4/27/2021,Canon,https://static.wikia.nocookie.net/starwars/images/d/d1/GreaterGood.jpg/revision/latest?cb=20201029174446,SWImages\Thrawn Ascendancy Greater Good.jpg
18 BBY,-18,ROTE,ON,Thrawn Ascendancy: Lesser Evil,Timothy Zahn,11/16/2021,Canon,https://static.wikia.nocookie.net/starwars/images/3/3f/LesserEvil.jpg/revision/latest?cb=20210402211907,SWImages\Thrawn Ascendancy Lesser Evil.jpg
18 BBY,-18,ROTE,OJR,Adventures in Wild Space: The Escape,Cavan Scott,2/25/2016,Canon,https://static.wikia.nocookie.net/starwars/images/c/ce/Adventures_in_Wild_Space_cover.jpg/revision/latest?cb=20151110210206,SWImages\Adventures in Wild Space The Escape.jpg
18 BBY,-18,ROTE,OJR,Adventures in Wild Space: The Snare,Cavan Scott,2/25/2016,Canon,https://static.wikia.nocookie.net/starwars/images/e/eb/Wild_Space_The_Snare_cover.jpg/revision/latest?cb=20160816034826,SWImages\Adventures in Wild Space The Snare.jpg
18 BBY,-18,ROTE,OJR,Adventures in Wild Space: The Nest,Tom Huddleston,2/25/2016,Canon,https://static.wikia.nocookie.net/starwars/images/e/e0/Adventures_in_Wild_Space_The_Nest_cover.jpg/revision/latest?cb=20160811064317,SWImages\Adventures in Wild Space The Nest.jpg
18 BBY,-18,ROTE,OJR,Adventures in Wild Space: The Steal,Cavan Scott,6/30/2016,Canon,https://static.wikia.nocookie.net/starwars/images/e/e9/Adventures_in_Wild_Space_The_Steal.png/revision/latest?cb=20220214201633,SWImages\Adventures in Wild Space The Steal.jpg
18 BBY,-18,ROTE,OJR,Adventures in Wild Space: The Dark,Tom Huddleston,6/30/2016,Canon,https://static.wikia.nocookie.net/starwars/images/4/4c/Adventures_in_Wild_Space_The_Dark.png/revision/latest?cb=20160729154255,SWImages\Adventures in Wild Space The Dark.jpg
18 BBY,-18,ROTE,OJR,Adventures in Wild Space: The Cold,Cavan Scott,3/9/2017,Canon,https://static.wikia.nocookie.net/starwars/images/9/98/Adventures_in_Wild_Space_The_Cold.jpg/revision/latest?cb=20170127020118,SWImages\Adventures in Wild Space The Cold.jpg
18 BBY,-18,ROTE,OJR,Adventures in Wild Space: The Rescue,Tom Huddleston,5/4/2017,Canon,https://static.wikia.nocookie.net/starwars/images/a/af/AiWS_-_6_-_The_Rescue.png/revision/latest?cb=20170727182748,SWImages\Adventures in Wild Space The Rescue.jpg
18 BBY,-18,ROTE,YA,Ahsoka,E. K. Johnston,10/11/2016,Canon,https://static.wikia.nocookie.net/starwars/images/d/d3/Ahsoka_novel_cover.png/revision/latest?cb=20160715164545,SWImages\Ahsoka.jpg
18 BBY,-18,ROTE,OJR,Choose Your Destiny: A Smuggler Mission,Cavan Scott,7/3/2019,Canon,https://static.wikia.nocookie.net/starwars/images/3/39/ChooseYourDestiny-Smuggler-Mission.png/revision/latest?cb=20240617215706,SWImages\Choose Your Destiny A Smuggler Mission.jpg
18 BBY,-18,ROTE,OJR,Choose Your Destiny: An Escape Mission,Cavan Scott,7/3/2019,Canon,https://static.wikia.nocookie.net/starwars/images/1/1d/ChooseYourDestiny-Escape.jpg/revision/latest?cb=20240710172822,SWImages\Choose Your Destiny An Escape Mission.jpg
15 - 2 BBY,-15,ROTE,ON,Thrawn,Timothy Zahn,4/11/2017,Canon,https://static.wikia.nocookie.net/starwars/images/1/14/SoCalledThrawnNovel.png/revision/latest?cb=20160805194404,SWImages\Thrawn.jpg
14 BBY,-14,ROTE,ON,Lords of the Sith,Paul S. Kemp,4/28/2015,Canon,https://static.wikia.nocookie.net/starwars/images/6/6b/Lords_of_the_Sith.jpg/revision/latest?cb=20210718053306,SWImages\Lords of the Sith.jpg
14 BBY,-14,ROTE,ON,Tarkin,James Luceno,11/4/2014,Canon,https://static.wikia.nocookie.net/starwars/images/d/df/TarkinCover.jpg/revision/latest?cb=20140425191637,SWImages\Tarkin.jpg
13 BBY,-13,ROTE,YA,Most Wanted,Rae Carson,5/25/2018,Canon,https://static.wikia.nocookie.net/starwars/images/6/60/Most_Wanted_book_cover.jpg/revision/latest?cb=20180217015536,SWImages\Most Wanted.jpg
13 BBY,-13,ROTE,OJR,Lando's Luck,Justina Ireland,10/2/2018,Canon,https://static.wikia.nocookie.net/starwars/images/b/b5/SWLandosLuckFinal.jpg/revision/latest?cb=20210106010732,SWImages\Lando's Luck.jpg
13 - 10 BBY,-13,ROTE,NA,Solo: A Star Wars Story: Expanded Edition,Mur Lafferty,9/4/2018,Canon,https://static.wikia.nocookie.net/starwars/images/0/08/Solo-ExpandedEdition-Hardcover.jpg/revision/latest?cb=20180921181254,SWImages\Solo A Star Wars Story Expanded Edition.jpg
13 - 10 BBY,-13,ROTE,JRA,Solo: A Star Wars Story: A Junior Novel,Joe Schreiber,9/11/2018,Canon,https://static.wikia.nocookie.net/starwars/images/a/a2/SoloJuniorNovel.jpg/revision/latest?cb=20210810164040,SWImages\Solo A Star Wars Story A Junior Novel.jpg
13 - 10 BBY,-13,ROTE,YR,Solo: A Star Wars Story Golden Book,Elizabeth Schaefer,12/24/2018,Canon,https://static.wikia.nocookie.net/starwars/images/c/c9/SoloLGB.jpg/revision/latest?cb=20180928160753,SWImages\Solo A Star Wars Story Golden Book.jpg
13 - 10 BBY,-13,ROTE,YR,Solo: A Star Wars Story: Train Heist,Lucasfilm Press,5/25/2018,Canon,https://static.wikia.nocookie.net/starwars/images/e/e6/Solo_Train_Heist_book.jpg/revision/latest?cb=20180526040117,SWImages\Solo A Star Wars Story Train Heist.jpg
13 - 0 BBY,-13,ROTE,YA,Rebel Rising,Beth Revis,5/2/2017,Canon,https://static.wikia.nocookie.net/starwars/images/4/41/RebelRising-Hardcover.jpg/revision/latest?cb=20180121202424,SWImages\Rebel Rising.jpg
13  -  12 BBY,-13,ROTE,YA,Crimson Climb,E. K. Johnston,10/10/2023,Canon,https://static.wikia.nocookie.net/starwars/images/f/f5/CrimsonClimb-revealcover.jpg/revision/latest?cb=20230208001041,SWImages\Crimson Climb.jpg
11 BBY,-11,ROTE,ON,A New Dawn,John Jackson Miller,9/2/2014,Canon,https://static.wikia.nocookie.net/starwars/images/6/62/ANewDawn.png/revision/latest?cb=20141001002939,SWImages\A New Dawn.jpg
12 - 11 BBY,-12,ROTE,ON,Jedi: Battle Scars,Sam Maggs,3/7/2023,Canon,https://static.wikia.nocookie.net/starwars/images/0/04/Jedi_Battle_Scars_cover.jpg/revision/latest?cb=20221203085940,SWImages\Jedi Battle Scars.jpg
6 BBY - 5 ABY,-6,ROTE,YA,Lost Stars,Claudia Gray,9/4/2015,Canon,https://static.wikia.nocookie.net/starwars/images/a/a2/LostStars.png/revision/latest?cb=20150709005414,SWImages\Lost Stars.jpg
6 - 5 BBY,-6,ROTE,OJR,Servants of the Empire: Edge of the Galaxy,Jason Fry,10/21/2014,Canon,https://static.wikia.nocookie.net/starwars/images/4/47/Servants-Edge.png/revision/latest?cb=20140814010943,SWImages\Servants of the Empire Edge of the Galaxy.jpg
5 BBY,-5,AOR,JRA,Rise of the Rebels,Michael Kogge,8/5/2014,Canon,https://static.wikia.nocookie.net/starwars/images/9/93/RiseoftheRebels.png/revision/latest?cb=20140815184328,SWImages\Rise of the Rebels.jpg
5 BBY,-5,AOR,YR,Chopper Saves the Day,Elizabeth Schaefer,8/5/2014,Canon,https://static.wikia.nocookie.net/starwars/images/2/2a/ChopperSavestheDay.png/revision/latest?cb=20140815191046,SWImages\Chopper Saves the Day.jpg
5 BBY,-5,AOR,YR,Sabine's Art Attack,Jennifer Heddle,1/6/2015,Canon,https://static.wikia.nocookie.net/starwars/images/8/8a/SabinesArtAttack.png/revision/latest?cb=20140907205914,SWImages\Sabine's Art Attack.jpg
5 BBY,-5,AOR,YR,Zeb to the Rescue,Michael Siglain,8/5/2014,Canon,https://static.wikia.nocookie.net/starwars/images/2/20/ZebtotheRescue.jpg/revision/latest?cb=20140418050340,SWImages\Zeb to the Rescue.jpg
5 BBY,-5,AOR,OJR,Ezra's Gamble,Ryder Windham,8/5/2014,Canon,https://static.wikia.nocookie.net/starwars/images/f/fc/EzrasGamble.png/revision/latest?cb=20140815185723,SWImages\Ezra's Gamble.jpg
5 BBY,-5,AOR,YR,Ezra and the Pilot,Jennifer Heddle,8/5/2014,Canon,https://static.wikia.nocookie.net/starwars/images/b/b7/EzraandthePilot.png/revision/latest?cb=20140810050959,SWImages\Ezra and the Pilot.jpg
5 BBY,-5,AOR,YR,Ezra's Wookiee Rescue,Meredith Rusu,10/21/2014,Canon,https://static.wikia.nocookie.net/starwars/images/b/bd/EzrasWookieeRescue.png/revision/latest?cb=20140907221509,SWImages\Ezra's Wookiee Rescue.jpg
5 BBY,-5,AOR,JRA,The Rebellion Begins,Michael Kogge,10/21/2014,Canon,https://static.wikia.nocookie.net/starwars/images/0/00/TheRebellionBegins.png/revision/latest?cb=20140907205529,SWImages\The Rebellion Begins.jpg
5 BBY,-5,AOR,JRA,Droids in Distress,Michael Kogge,11/18/2014,Canon,https://static.wikia.nocookie.net/starwars/images/e/ea/Droids_in_Distress_thumb.png/revision/latest?cb=20141014023507,SWImages\Droids in Distress.jpg
5 BBY,-5,AOR,YR,The Secret Jedi: The Adventures of Kanan Jarrus: Rebel Leader,Benjamin Harper,2/3/2015,Canon,https://static.wikia.nocookie.net/starwars/images/a/ae/The_Secret_Jedi_Cover.jpg/revision/latest?cb=20140929145010,SWImages\The Secret Jedi The Adventures of Kanan Jarrus Rebel Leader.jpg
5 BBY,-5,AOR,YR,TIE Fighter Trouble,Brooke Vitale,11/1/2015,Canon,https://static.wikia.nocookie.net/starwars/images/7/74/TIE_Fighter_Trouble_Final_Cover.jpg/revision/latest?cb=20160610233419,SWImages\TIE Fighter Trouble.jpg
5 BBY,-5,AOR,YR,The Inquisitor's Trap,Meredith Rusu,12/9/2014,Canon,https://static.wikia.nocookie.net/starwars/images/a/a8/TheInquisitorsTrap.png/revision/latest?cb=20140907204959,SWImages\The Inquisitor's Trap.jpg
5 BBY,-5,AOR,OJR,Servants of the Empire: Rebel in the Ranks,Jason Fry,3/3/2015,Canon,https://static.wikia.nocookie.net/starwars/images/1/18/Servants_of_the_Empire-Rebel_in_the_Ranks.png/revision/latest?cb=20141220204753,SWImages\Servants of the Empire Rebel in the Ranks.jpg
5 BBY,-5,AOR,YR,Hera's Phantom Flight,Elizabeth Schaefer,3/31/2015,Canon,https://static.wikia.nocookie.net/starwars/images/e/ec/HerasPhantomFlight.jpg/revision/latest?cb=20170907230824,SWImages\Hera's Phantom Flight.jpg
4 BBY,-4,AOR,JRA,Ezra's Duel with Danger,Michael Kogge,3/17/2015,Canon,https://static.wikia.nocookie.net/starwars/images/8/88/EzrasDuelWithDanger.png/revision/latest?cb=20141121030739,SWImages\Ezra's Duel with Danger.jpg
4 BBY,-4,AOR,YR,Kanan's Jedi Training,Elizabeth Schaefer,8/4/2015,Canon,https://static.wikia.nocookie.net/starwars/images/b/b9/KanansJediTraining.jpg/revision/latest?cb=20150520213853,SWImages\Kanan's Jedi Training.jpg
4 BBY,-4,AOR,YR,Always Bet on Chopper,Meredith Rusu,5/5/2015,Canon,https://static.wikia.nocookie.net/starwars/images/5/54/Always_Bet_on_Chopper_Cover.jpg/revision/latest?cb=20150124163303,SWImages\Always Bet on Chopper.jpg
4 BBY,-4,AOR,OJR,Servants of the Empire: Imperial Justice,Jason Fry,7/7/2015,Canon,https://static.wikia.nocookie.net/starwars/images/2/21/Servants_of_the_Empire_Imperial_Justice.png/revision/latest?cb=20150416002214,SWImages\Servants of the Empire Imperial Justice.jpg
4 BBY,-4,AOR,OJR,Servants of the Empire: The Secret Academy,Jason Fry,10/6/2015,Canon,https://static.wikia.nocookie.net/starwars/images/c/c9/Servants_of_the_Empire_The_Secret_Academy.png/revision/latest?cb=20150617143511,SWImages\Servants of the Empire The Secret Academy.jpg
4 BBY,-4,AOR,JRA,Battle to the End,Michael Kogge,6/9/2015,Canon,https://static.wikia.nocookie.net/starwars/images/8/8e/BattletotheEnd-US.jpg/revision/latest?cb=20170528235441,SWImages\Battle to the End.jpg
4 BBY,-4,AOR,JRA,Trapped,Vanessa Rubio-Barreau,3/9/2016,Canon,https://static.wikia.nocookie.net/starwars/images/7/7e/Trapped.jpg/revision/latest?cb=20210707191020,SWImages\Trapped.jpg
4 BBY,-4,AOR,JRA,A New Ally,Vanessa Rubio-Barreau,4/13/2016,Canon,https://static.wikia.nocookie.net/starwars/images/0/09/ANewAlly.jpg/revision/latest?cb=20210707194352,SWImages\A New Ally.jpg
4 BBY,-4,AOR,JRA,Ezra's Choice,Vanessa Rubio-Barreau,6/8/2016,Canon,https://static.wikia.nocookie.net/starwars/images/0/06/Ezra-sChoice.jpg/revision/latest?cb=20210708193928,SWImages\Ezra's Choice.jpg
4 BBY,-4,AOR,JRA,An Outstanding Pilot,Vanessa Rubio,6/29/2016,Canon,https://static.wikia.nocookie.net/starwars/images/7/71/OutstandingPilot.jpg/revision/latest?cb=20210708225630,SWImages\An Outstanding Pilot.jpg
3 BBY,-3,AOR,JRA,The Future of the Force,Vanessa Rubio-Barreau,9/28/2016,Canon,https://static.wikia.nocookie.net/starwars/images/d/d7/FutureOfForceBook.jpg/revision/latest?cb=20210709193305,SWImages\The Future of the Force.jpg
3 BBY,-3,AOR,YA,"Leia, Princess of Alderaan",Claudia Gray,9/1/2017,Canon,https://static.wikia.nocookie.net/starwars/images/1/11/LeiaPrincessofAlderaan-Hardcover.jpg/revision/latest?cb=20170708131542,"SWImages\Leia, Princess of Alderaan.jpg"
3 BBY,-3,AOR,JRA,Ezra's Quest,Vanessa Rubio-Barreau,10/19/2016,Canon,https://static.wikia.nocookie.net/starwars/images/8/8b/EzrasQuest.jpg/revision/latest?cb=20210709201809,SWImages\Ezra's Quest.jpg
3 BBY,-3,AOR,JRA,Back to Basics,Vanessa Rubio-Barreau,11/30/2016,Canon,https://static.wikia.nocookie.net/starwars/images/d/df/BackToBasics.jpg/revision/latest?cb=20210710133617,SWImages\Back to Basics.jpg
3 BBY,-3,AOR,JRA,Forces of Destiny: The Leia Chronicles,Emma Carlson Berne,1/2/2018,Canon,https://static.wikia.nocookie.net/starwars/images/0/00/FoD-DA-Leia-CNF.jpg/revision/latest?cb=20171118131548,SWImages\Forces of Destiny The Leia Chronicles.jpg
3 BBY,-3,AOR,ON,Thrawn: Alliances,Timothy Zahn,7/24/2018,Canon,https://static.wikia.nocookie.net/starwars/images/c/c8/Thrawn_Alliances_cover.png/revision/latest?cb=20200826220634,SWImages\Thrawn Alliances.jpg
1 BBY,-1,AOR,ON,Thrawn: Treason,Timothy Zahn,7/23/2019,Canon,https://static.wikia.nocookie.net/starwars/images/3/3f/ThrawnTreason.jpg/revision/latest?cb=20190204205531,SWImages\Thrawn Treason.jpg
1 BBY,-1,AOR,OJR,The Mighty Chewbacca in the Forest of Fear!,Tom Angleberger,5/25/2018,Canon,https://static.wikia.nocookie.net/starwars/images/5/5c/The_Mighty_Chewbacca_Forest_of_Fear.jpg/revision/latest?cb=20180217042500,SWImages\The Mighty Chewbacca in the Forest of Fear!.jpg
1 BBY,-1,AOR,OJR,Choose Your Destiny: A Han & Chewie Adventure,Cavan Scott,4/17/2018,Canon,https://static.wikia.nocookie.net/starwars/images/0/08/ChooseYourDestiny-HanChewie.jpg/revision/latest?cb=20180217014416,SWImages\Choose Your Destiny A Han and Chewie Adventure.jpg
0 BBY,0,AOR,OJR,Guardians of the Whills,Greg Rucka,5/2/2017,Canon,https://static.wikia.nocookie.net/starwars/images/c/c7/GuardianOfTheWhillsTeySirrek-THR3.png/revision/latest?cb=20221230013212,SWImages\Guardians of the Whills.jpg
0 BBY,0,AOR,NA,Rogue One: A Star Wars Story,Alexander Freed,12/16/2016,Canon,https://static.wikia.nocookie.net/starwars/images/1/18/RogueOneNovel.png/revision/latest?cb=20161109122101,SWImages\Rogue One A Star Wars Story.jpg
0 BBY,0,AOR,JRA,Star Wars: Rogue One: A Junior Novel,Matt Forbeck,12/16/2016,Canon,https://static.wikia.nocookie.net/starwars/images/d/dc/RogueOneJuniorNovel-Hardcover.png/revision/latest?cb=20161208092628,SWImages\Star Wars Rogue One A Junior Novel.jpg
0 BBY,0,AOR,YR,Star Wars: Rogue One: Secret Mission,Jason Fry,12/16/2016,Canon,https://static.wikia.nocookie.net/starwars/images/d/d2/RogueOneSecretMission-Hardcover.jpg/revision/latest?cb=20170519194814,SWImages\Star Wars Rogue One Secret Mission.jpg
0 BBY,0,AOR,YR,Bounty Hunt,Katrina Pallant,4/7/2016,Canon,https://static.wikia.nocookie.net/starwars/images/e/e3/StarWarsBountyHunt-UK.jpg/revision/latest?cb=20170818005804,SWImages\Bounty Hunt.jpg
0 BBY,0,AOR,YR,Escape from Darth Vader,Michael Siglain,9/16/2014,Canon,https://static.wikia.nocookie.net/starwars/images/8/8b/Escape_from_Darth_Vader_Cover.jpg/revision/latest?cb=20150816192744,SWImages\Escape from Darth Vader.jpg
0 BBY,0,AOR,YR,Trouble on Tatooine,Dan Wolverton,5/2/2017,Canon,https://static.wikia.nocookie.net/starwars/images/3/37/TroubleonTatooine.jpg/revision/latest?cb=20170507012134,SWImages\Trouble on Tatooine.jpg
0 BBY,0,AOR,YR,Trapped in the Death Star!,Lucasfilm Press,11/1/2016,Canon,https://static.wikia.nocookie.net/starwars/images/2/27/TrappedintheDeathStar.png/revision/latest?cb=20160731202108,SWImages\Trapped in the Death Star!.jpg
0 ABY,0,AOR,YR,Death Star Battle,Disney Book Group,2/2/2016,Canon,https://static.wikia.nocookie.net/starwars/images/3/38/Death_Star_Battle_cover.jpg/revision/latest?cb=20160220064621,SWImages\Death Star Battle.jpg
0 BBY - 0 ABY,0,AOR,YR,A New Hope,Geof Smith,7/28/2015,Canon,https://static.wikia.nocookie.net/starwars/images/8/89/A_New_Hope_Golden_Book_Cover.jpg/revision/latest?cb=20150516170723,SWImages\A New Hope.jpg
0 BBY - 0 ABY,0,AOR,YR,Episode IV: A New Hope Read-Along Storybook and CD,Randy Thornton,2/10/2015,Canon,https://static.wikia.nocookie.net/starwars/images/f/f6/A_New_Hope_Read-Along_Storybook_and_CD_Cover.jpg/revision/latest?cb=20141030193835,SWImages\Episode IV A New Hope Read-Along Storybook and CD.jpg
0 BBY - 0 ABY,0,AOR,YR,The Rise of a Hero,Louise Simonson,5/30/2017,Canon,https://static.wikia.nocookie.net/starwars/images/9/90/The_Rise_of_a_Hero.jpg/revision/latest?cb=20170226185817,SWImages\The Rise of a Hero.jpg
0 BBY - 0 ABY,0,AOR,JRA,"A New Hope: The Princess, the Scoundrel, and the Farm Boy",Alexandra Bracken,9/22/2015,Canon,https://static.wikia.nocookie.net/starwars/images/a/ae/A_New_Hope_Farm_Boy_Cover.jpg/revision/latest?cb=20150605191850,"SWImages\A New Hope The Princess, the Scoundrel, and the Farm Boy.jpg"
0 BBY - 0 ABY,0,AOR,JRA,Star Wars: A New Hope,Ryder Windham,5/4/2017,Canon,https://static.wikia.nocookie.net/starwars/images/3/3d/StarWarsEpisodeIV-ANewHope.png/revision/latest?cb=20190928234143,SWImages\Star Wars A New Hope.jpg
0 BBY - 4 ABY,0,AOR,YR,"The Adventures of Luke Skywalker, Jedi Knight",Tony DiTerlizzi,10/7/2014,Canon,https://static.wikia.nocookie.net/starwars/images/8/83/AdventuresLuke.png/revision/latest?cb=20140814010304,"SWImages\The Adventures of Luke Skywalker, Jedi Knight.jpg"
0 BBY - 4 ABY,0,AOR,YR,Star Wars in Pictures: The Original Trilogy,Ryder Windham,8/1/2015,Canon,https://static.wikia.nocookie.net/starwars/images/a/a1/StarWarsInPictures-Cover.jpg/revision/latest?cb=20150804063439,SWImages\Star Wars in Pictures The Original Trilogy.jpg
