Universe Date,Filter Date,Era,Novel Type,Title,Writers,Release Date,Canon or Legends,Image,Thumbnail
25 ABY,25,TNR,ON,The New Jedi Order: Dark Tide II: Ruin,Michael A. Stackpole,6/6/2000,Legend,https://static.wikia.nocookie.net/starwars/images/0/02/NJO-DarkTideII-Ruin.jpg/revision/latest/scale-to-width-down/299?cb=20200824191607,SWImages\The New Jedi Order Dark Tide II Ruin.jpg
25 ABY,25,TNR,ON,The New Jedi Order: Agents of Chaos I: Hero's Trial,James Luceno,8/1/2000,Legend,https://static.wikia.nocookie.net/starwars/images/e/e8/AgentsChaos1_PB.jpg/revision/latest/scale-to-width-down/500?cb=20070723210308,SWImages\The New Jedi Order Agents of Chaos I Hero's Trial.jpg
25 ABY,25,TNR,ON,The New Jedi Order: Agents of Chaos II: Jedi Eclipse,James Luceno,10/3/2000,Legend,https://static.wikia.nocookie.net/starwars/images/7/75/NJO-JediEclipse.jpg/revision/latest/scale-to-width-down/500?cb=20200825002452,SWImages\The New Jedi Order Agents of Chaos II Jedi Eclipse.jpg
26 ABY,26,TNR,ON,The New Jedi Order: Balance Point,Kathy Tyers,10/31/2000,Legend,https://static.wikia.nocookie.net/starwars/images/4/46/Balance_Point_Cover.jpg/revision/latest/scale-to-width-down/499?cb=20070723200015,SWImages\The New Jedi Order Balance Point.jpg
26 ABY,26,TNR,ON,The New Jedi Order: Edge of Victory I: Conquest,Greg Keyes,4/3/2001,Legend,https://static.wikia.nocookie.net/starwars/images/0/08/Conquest.jpg/revision/latest/scale-to-width-down/500?cb=20070724043039,SWImages\The New Jedi Order Edge of Victory I Conquest.jpg
26 ABY,26,TNR,ON,The New Jedi Order: Edge of Victory II: Rebirth,Greg Keyes,7/31/2001,Legend,https://static.wikia.nocookie.net/starwars/images/f/f0/Rebirth_Cover.jpg/revision/latest/scale-to-width-down/499?cb=20070705193511,SWImages\The New Jedi Order Edge of Victory II Rebirth.jpg
27 ABY,27,TNR,ON,The New Jedi Order: Star by Star,Troy Denning,10/30/2001,Legend,https://static.wikia.nocookie.net/starwars/images/9/96/NJO-StarbyStar.jpg/revision/latest/scale-to-width-down/500?cb=20200310154523,SWImages\The New Jedi Order Star by Star.jpg
27 ABY,27,TNR,ON,The New Jedi Order: Dark Journey,Elaine Cunningham,1/29/2002,Legend,https://static.wikia.nocookie.net/starwars/images/6/60/Dark_Journey_Cover.jpg/revision/latest/scale-to-width-down/499?cb=20070724043302,SWImages\The New Jedi Order Dark Journey.jpg
27 ABY,27,TNR,ON,The New Jedi Order: Enemy Lines I: Rebel Dream,Aaron Allston,3/26/2002,Legend,https://static.wikia.nocookie.net/starwars/images/3/39/Rebel_Dream_Cover.jpg/revision/latest/scale-to-width-down/500?cb=20070723202845,SWImages\The New Jedi Order Enemy Lines I Rebel Dream.jpg
27 ABY,27,TNR,ON,The New Jedi Order: Enemy Lines II: Rebel Stand,Aaron Allston,5/28/2002,Legend,https://static.wikia.nocookie.net/starwars/images/f/f2/Rebel_Stand_Cover.jpg/revision/latest/scale-to-width-down/500?cb=20070720130647,SWImages\The New Jedi Order Enemy Lines II Rebel Stand.jpg
27 ABY,27,TNR,ON,The New Jedi Order: Traitor,Matthew Stover,7/30/2002,Legend,https://static.wikia.nocookie.net/starwars/images/7/79/Traitor_Cover.jpg/revision/latest/scale-to-width-down/500?cb=20070720130934,SWImages\The New Jedi Order Traitor.jpg
28 ABY,28,TNR,ON,The New Jedi Order: Destiny's Way,Walter Jon Williams,10/1/2002,Legend,https://static.wikia.nocookie.net/starwars/images/a/ae/TheNewJediOrder-DestinysWay.jpg/revision/latest/scale-to-width-down/500?cb=20070720121005,SWImages\The New Jedi Order Destiny's Way.jpg
28 ABY,28,TNR,ON,The New Jedi Order: Force Heretic I: Remnant,"Sean Williams 
Shane Dix",2/4/2003,Legend,https://static.wikia.nocookie.net/starwars/images/c/c1/Force_Heretic_-_Remnant_Cover.jpg/revision/latest/scale-to-width-down/500?cb=20070705193827,SWImages\The New Jedi Order Force Heretic I Remnant.jpg
28 ABY,28,TNR,ON,The New Jedi Order: Force Heretic II: Refugee,"Sean Williams 
Shane Dix",4/29/2003,Legend,https://static.wikia.nocookie.net/starwars/images/c/cc/Force_Heretic_-_Refugee_Cover.jpg/revision/latest/scale-to-width-down/500?cb=20070705194219,SWImages\The New Jedi Order Force Heretic II Refugee.jpg
28  -  29 ABY,28,TNR,ON,The New Jedi Order: Force Heretic III: Reunion,"Sean Williams 
Shane Dix",7/1/2003,Legend,https://static.wikia.nocookie.net/starwars/images/2/2a/Force_Heretic_-_Reunion_Cover.jpg/revision/latest/scale-to-width-down/500?cb=20070720121713,SWImages\The New Jedi Order Force Heretic III Reunion.jpg
29 ABY,29,TNR,ON,The New Jedi Order: The Final Prophecy,Greg Keyes,9/30/2003,Legend,https://static.wikia.nocookie.net/starwars/images/6/63/The_Final_Prophecy_Cover.jpg/revision/latest/scale-to-width-down/500?cb=20070720122038,SWImages\The New Jedi Order The Final Prophecy.jpg
29 ABY,29,TNR,ON,The New Jedi Order: The Unifying Force,James Luceno,11/4/2003,Legend,https://static.wikia.nocookie.net/starwars/images/e/e6/NJO-TheUnifyingForce.jpg/revision/latest/scale-to-width-down/500?cb=20200302054141,SWImages\The New Jedi Order The Unifying Force.jpg
35 ABY,35,ROTFO,ON,Dark Nest I: The Joiner King,Troy Denning,7/26/2005,Legend,https://static.wikia.nocookie.net/starwars/images/1/1b/TheJoinerKing.jpg/revision/latest/scale-to-width-down/297?cb=20200628055849,SWImages\Dark Nest I The Joiner King.jpg
36 ABY,36,NJO,ON,Dark Nest II: The Unseen Queen,Troy Denning,9/27/2005,Legend,https://static.wikia.nocookie.net/starwars/images/8/88/The_Unseen_Queen.jpg/revision/latest/scale-to-width-down/500?cb=20070720005619,SWImages\Dark Nest II The Unseen Queen.jpg
36 ABY,36,NJO,ON,Dark Nest III: The Swarm War,Troy Denning,12/27/2005,Legend,https://static.wikia.nocookie.net/starwars/images/0/0f/Swarmwar.jpg/revision/latest/scale-to-width-down/500?cb=20070720005026,SWImages\Dark Nest III The Swarm War.jpg
40 ABY,40,NJO,ON,Legacy of the Force: Betrayal,Aaron Allston,5/30/2006,Legend,https://static.wikia.nocookie.net/starwars/images/f/fa/Betrayalcover.jpg/revision/latest/scale-to-width-down/500?cb=20090212033648,SWImages\Legacy of the Force Betrayal.jpg
40 ABY,40,NJO,ON,Legacy of the Force: Bloodlines,Karen Traviss,8/29/2006,Legend,https://static.wikia.nocookie.net/starwars/images/c/cf/Bloodlines.jpg/revision/latest/scale-to-width-down/499?cb=20070720002146,SWImages\Legacy of the Force Bloodlines.jpg
40 ABY,40,NJO,ON,Legacy of the Force: Tempest,Troy Denning,11/28/2006,Legend,https://static.wikia.nocookie.net/starwars/images/4/46/Tempest.jpg/revision/latest/scale-to-width-down/499?cb=20070719035540,SWImages\Legacy of the Force Tempest.jpg
40 ABY,40,NJO,ON,Legacy of the Force: Exile,Aaron Allston,2/27/2007,Legend,https://static.wikia.nocookie.net/starwars/images/c/c2/Lotf_exile.jpg/revision/latest/scale-to-width-down/499?cb=20070719034223,SWImages\Legacy of the Force Exile.jpg
40 ABY,40,NJO,ON,Legacy of the Force: Sacrifice,Karen Traviss,5/29/2007,Legend,https://static.wikia.nocookie.net/starwars/images/b/b6/Lotf-sacrifice.jpg/revision/latest/scale-to-width-down/500?cb=20070719033619,SWImages\Legacy of the Force Sacrifice.jpg
40 ABY,40,NJO,ON,Legacy of the Force: Inferno,Troy Denning,8/28/2007,Legend,https://static.wikia.nocookie.net/starwars/images/9/93/Infernoreal.jpg/revision/latest/scale-to-width-down/499?cb=20070822114900,SWImages\Legacy of the Force Inferno.jpg
40 ABY,40,NJO,ON,Legacy of the Force: Fury,Aaron Allston,11/27/2007,Legend,https://static.wikia.nocookie.net/starwars/images/3/3c/FuryCover.jpg/revision/latest/scale-to-width-down/500?cb=20070711000843,SWImages\Legacy of the Force Fury.jpg
41 ABY,41,NJO,ON,Legacy of the Force: Revelation,Karen Traviss,2/26/2008,Legend,https://static.wikia.nocookie.net/starwars/images/5/54/Revelationcover.jpg/revision/latest/scale-to-width-down/499?cb=20070830011317,SWImages\Legacy of the Force Revelation.jpg
41 ABY,41,NJO,ON,Legacy of the Force: Invincible,Troy Denning,5/13/2008,Legend,https://static.wikia.nocookie.net/starwars/images/b/bf/Invincible.jpg/revision/latest/scale-to-width-down/500?cb=20080117191940,SWImages\Legacy of the Force Invincible.jpg
41 ABY,41,NJO,ON,Crosscurrent,Paul S. Kemp,1/26/2010,Legend,https://static.wikia.nocookie.net/starwars/images/3/35/Crosscurrent.jpg/revision/latest/scale-to-width-down/500?cb=20090729040804,SWImages\Crosscurrent.jpg
41 ABY,41,NJO,ON,Riptide,Paul S. Kemp,10/25/2011,Legend,https://static.wikia.nocookie.net/starwars/images/c/c0/RiptideFinal_bg.jpg/revision/latest/scale-to-width-down/500?cb=20110317211741,SWImages\Riptide.jpg
43 ABY,43,NJO,ON,Millennium Falcon,James Luceno,10/21/2008,Legend,https://static.wikia.nocookie.net/starwars/images/8/8b/MillenniumFalcon.jpg/revision/latest/scale-to-width-down/500?cb=20080829001831,SWImages\Millennium Falcon.jpg
43 ABY,43,NJO,ON,Fate of the Jedi: Outcast,Aaron Allston,3/24/2009,Legend,https://static.wikia.nocookie.net/starwars/images/5/51/Outcast_cover.jpg/revision/latest/scale-to-width-down/500?cb=20090118231713,SWImages\Fate of the Jedi Outcast.jpg
43 ABY,43,NJO,ON,Fate of the Jedi: Omen,Christie Golden,6/23/2009,Legend,https://static.wikia.nocookie.net/starwars/images/e/ef/Omen_front_bg.jpg/revision/latest/scale-to-width-down/500?cb=20090311220544,SWImages\Fate of the Jedi Omen.jpg
43 ABY,43,NJO,ON,Fate of the Jedi: Abyss,Troy Denning,8/18/2009,Legend,https://static.wikia.nocookie.net/starwars/images/c/ca/Abyss_bg.jpg/revision/latest/scale-to-width-down/500?cb=20090311220532,SWImages\Fate of the Jedi Abyss.jpg
43 ABY,43,NJO,ON,Fate of the Jedi: Backlash,Aaron Allston,3/9/2010,Legend,https://static.wikia.nocookie.net/starwars/images/0/0e/Backlash_Front.jpg/revision/latest/scale-to-width-down/500?cb=20090811195629,SWImages\Fate of the Jedi Backlash.jpg
44 ABY,44,NJO,ON,Fate of the Jedi: Allies,Christie Golden,5/25/2010,Legend,https://static.wikia.nocookie.net/starwars/images/f/f2/Allies_Front.jpg/revision/latest/scale-to-width-down/499?cb=20091223005945,SWImages\Fate of the Jedi Allies.jpg
44 ABY,44,NJO,ON,Fate of the Jedi: Vortex,Troy Denning,11/30/2010,Legend,https://static.wikia.nocookie.net/starwars/images/3/32/Vortex_cover.jpg/revision/latest/scale-to-width-down/500?cb=20100208125816,SWImages\Fate of the Jedi Vortex.jpg
44 ABY,44,NJO,ON,Fate of the Jedi: Conviction,Aaron Allston,5/24/2011,Legend,https://static.wikia.nocookie.net/starwars/images/d/d3/Conviction.jpg/revision/latest/scale-to-width-down/499?cb=20100723151156,SWImages\Fate of the Jedi Conviction.jpg
44 ABY,44,NJO,ON,Fate of the Jedi: Ascension,Christie Golden,8/9/2011,Legend,https://static.wikia.nocookie.net/starwars/images/2/25/AscensionCover.jpg/revision/latest/scale-to-width-down/500?cb=20110217035924,SWImages\Fate of the Jedi Ascension.jpg
44 ABY,44,NJO,ON,Fate of the Jedi: Apocalypse,Troy Denning,11/16/2011,Legend,https://static.wikia.nocookie.net/starwars/images/a/a2/Apocalypse_cover.jpg/revision/latest/scale-to-width-down/499?cb=20110630025417,SWImages\Fate of the Jedi Apocalypse.jpg
44 ABY,44,NJO,ON,X-Wing: Mercy Kill,Aaron Allston,8/7/2012,Legend,https://static.wikia.nocookie.net/starwars/images/e/ed/Mercykillcover.jpg/revision/latest/scale-to-width-down/500?cb=20120329012135,SWImages\X-Wing Mercy Kill.jpg
45 ABY,45,NJO,ON,Crucible,Troy Denning,7/9/2013,Legend,https://static.wikia.nocookie.net/starwars/images/9/9a/Crucible.jpg/revision/latest/scale-to-width-down/499?cb=20121013000924,SWImages\Crucible.jpg
